Baker,1,2,3,4,5,6,7,8,9,10,,season
Nadiya,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the Star Baker.,Baker was the Star Baker.,Baker was the series winner.,,6
Ian,Baker got through to the next round.,Baker was the Star Baker.,Baker was the Star Baker.,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was a series runner-up.,,6
Tamal,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was a series runner-up.,,6
Flora,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,,6
Paul,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,,6
Mat,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,Baker was eliminated.,out,out,out,,6
Alvin,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,,6
UgnÄ—,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,,6
Sandy,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,,6
Dorret,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,,6
Marie,Baker was the Star Baker.,Baker was eliminated.,out,out,out,out,out,out,out,out,,6
Stu,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,6
